"","ay","age","amount","metric","eval_date"
"2002.871",2002,87,4606034749,"ind_itdrptd",03/31/2009
"2003.871",2003,87,4334013608,"ind_itdrptd",03/31/2010
"2004.871",2004,87,3075172186,"ind_itdrptd",03/31/2011
"2005.871",2005,87,2431632192,"ind_itdrptd",03/31/2012
"2006.871",2006,87,2514736682,"ind_itdrptd",03/31/2013
"2007.871",2007,87,2665344716,"ind_itdrptd",03/31/2014
"2008.871",2008,87,2784344355,"ind_itdrptd",03/31/2015
"2009.871",2009,87,2678994050,"ind_itdrptd",03/31/2016
"2010.871",2010,87,2727195679,"ind_itdrptd",03/31/2017
"2011.871",2011,87,2728222420,"ind_itdrptd",03/31/2018
"2000.991",2000,99,3367831077,"ind_itdrptd",03/31/2008
"2001.991",2001,99,4731355664,"ind_itdrptd",03/31/2009
"2002.991",2002,99,4652095097,"ind_itdrptd",03/31/2010
"2003.991",2003,99,4420693880,"ind_itdrptd",03/31/2011
"2004.991",2004,99,3152051491,"ind_itdrptd",03/31/2012
"2005.991",2005,99,2485128100,"ind_itdrptd",03/31/2013
"2006.991",2006,99,2565031416,"ind_itdrptd",03/31/2014
"2007.991",2007,99,2723982300,"ind_itdrptd",03/31/2015
"2008.991",2008,99,2834462554,"ind_itdrptd",03/31/2016
"2009.991",2009,99,2721857955,"ind_itdrptd",03/31/2017
"2010.991",2010,99,2773558006,"ind_itdrptd",03/31/2018
"1999.1111",1999,111,3015974986,"ind_itdrptd",03/31/2008
"2000.1111",2000,111,3391405894,"ind_itdrptd",03/31/2009
"2001.1111",2001,111,4764475154,"ind_itdrptd",03/31/2010
"2002.1111",2002,111,4703268143,"ind_itdrptd",03/31/2011
"2003.1111",2003,111,4491424982,"ind_itdrptd",03/31/2012
"2004.1111",2004,111,3199332263,"ind_itdrptd",03/31/2013
"2005.1111",2005,111,2524890149,"ind_itdrptd",03/31/2014
"2006.1111",2006,111,2595811793,"ind_itdrptd",03/31/2015
"2007.1111",2007,111,2756670088,"ind_itdrptd",03/31/2016
"2008.1111",2008,111,2865641642,"ind_itdrptd",03/31/2017
"2009.1111",2009,111,2757242108,"ind_itdrptd",03/31/2018
"1998.1231",1998,123,2754653705,"ind_itdrptd",03/31/2008
"1999.1231",1999,123,3037086811,"ind_itdrptd",03/31/2009
"2000.1231",2000,123,3408362924,"ind_itdrptd",03/31/2010
"2001.1231",2001,123,4802590955,"ind_itdrptd",03/31/2011
"2002.1231",2002,123,4745597556,"ind_itdrptd",03/31/2012
"2003.1231",2003,123,4545322082,"ind_itdrptd",03/31/2013
"2004.1231",2004,123,3247322247,"ind_itdrptd",03/31/2014
"2005.1231",2005,123,2550139051,"ind_itdrptd",03/31/2015
"2006.1231",2006,123,2616578287,"ind_itdrptd",03/31/2016
"2007.1231",2007,123,2781480119,"ind_itdrptd",03/31/2017
"2008.1231",2008,123,2888566775,"ind_itdrptd",03/31/2018
"1997.1351",1997,135,2318413434,"ind_itdrptd",03/31/2008
"1998.1351",1998,135,2760163012,"ind_itdrptd",03/31/2009
"1999.1351",1999,135,3049235158,"ind_itdrptd",03/31/2010
"2000.1351",2000,135,3421996375,"ind_itdrptd",03/31/2011
"2001.1351",2001,135,4836209091,"ind_itdrptd",03/31/2012
"2002.1351",2002,135,4774071141,"ind_itdrptd",03/31/2013
"2003.1351",2003,135,4581684658,"ind_itdrptd",03/31/2014
"2004.1351",2004,135,3270053503,"ind_itdrptd",03/31/2015
"2005.1351",2005,135,2562889746,"ind_itdrptd",03/31/2016
"2006.1351",2006,135,2637510913,"ind_itdrptd",03/31/2017
"2007.1351",2007,135,2789824559,"ind_itdrptd",03/31/2018
"1996.1471",1996,147,1961613914,"ind_itdrptd",03/31/2008
